r0,c0,rows,columns,steps,flag_end
10,10,15,15,6310,0
10,10,15,15,5456,0
10,10,15,15,2324,0
10,10,15,15,2489,0
10,10,15,15,3733,0
10,10,15,15,5054,0
10,10,15,15,2112,0
10,10,15,15,2991,0
10,10,15,15,2804,0
10,10,15,15,2428,0
10,10,15,15,5204,0
10,10,15,15,2537,0
10,10,15,15,3244,0
10,10,15,15,3606,0
10,10,15,15,1531,0
10,10,15,15,2436,0
10,10,15,15,5743,0
10,10,15,15,3556,0
10,10,15,15,5634,0
10,10,15,15,1753,0
