r0,c0,rows,columns,steps,flag_end
1,1,40,20,18615,0
1,1,40,20,25000,1
1,1,40,20,18571,0
1,1,40,20,15773,0
1,1,40,20,25000,1
1,1,40,20,15646,0
1,1,40,20,13074,0
1,1,40,20,8921,0
1,1,40,20,15918,0
1,1,40,20,21452,0
1,1,40,20,13191,0
1,1,40,20,12722,0
1,1,40,20,10805,0
1,1,40,20,12259,0
1,1,40,20,17227,0
1,1,40,20,16845,0
1,1,40,20,12353,0
1,1,40,20,9848,0
1,1,40,20,12891,0
1,1,40,20,10623,0
